AUC	base_num	seq_id
0.5515873015873016	72	X04239.2/3-137
0.4949559794570799	275	AAHY01756065.1/299-617
	26	AJ224031.1/3-64
0.6150428921568627	266	BC061468.1/104-409
0.6955107351984384	82	AC126547.4/57251-57386
0.5573280159521437	93	U64706.1/79-207
0.6619047619047619	31	AC154002.8/25365-25299
	48	AC149868.2/112534-112451
0.48962962962962964	52	AAHY01033490.1/12295-12382
	39	U40654.1/922-996
	40	CAAA01053942.1/45659-45581
	32	AJ003045.1/47-114
	36	AJ543400.1/2-75
0.6090225563909775	33	AJ296990.1/141-209
0.7708333333333333	16	BC058360.1/2851-2902
	34	AB028894.1/2954-3040
0.6650943396226415	99	AC135358.3/32139-32273
0.6657681940700808	120	CAAA01084202.1/39331-39498
0.5378299120234604	86	AC133505.3/6863-6742
	30	AF109906.1/100346-100281
0.02	51	AF396686.1/578-664
	20	AC152939.2/8149-8238
0.6382716049382716	69	AF357393.1/1-105
0.4457070707070707	76	CAAA01202596.1/1204-1315
0.5052910052910052	179	M23705.1/702-916
0.5507246376811594	94	BC075731.1/796-925
	44	AAHY01000621.1/5079-5000
0.7347964040190376	92	AC154296.2/158134-158266
0.7283950617283951	18	AC124598.5/176959-176830
0.4856756756756757	87	AC132358.3/106983-106852
0.5501355013550135	86	AF357387.1/1-122
0.5398550724637681	35	AC154284.1/100289-100158
0.49375	44	AC154727.2/125080-125001
0.6004489337822672	169	AJ006836.1/1091-1295
0.6988795518207283	38	AAHY01168842.1/1247-1097
0.6382365972529909	98	BK005202.1/1-134
0.7844444444444445	30	AF241527.2/359-424
0.6714285714285715	12	AC154361.2/57260-57345
0.7756410256410257	25	AC164538.4/22511-22451
	47	AJ224032.1/2-84
0.6794258373205742	30	BC058360.1/3179-3244
0.6702611502347418	167	AC140410.3/155965-155720
0.4711981566820277	45	AAHY01107679.1/13131-13051
0.4457644628099174	66	AC166248.20/29722-29823
	31	AC004807.1/1740-1672
0.5018796992481204	80	AC110235.13/80163-80048
	26	AC121784.2/51879-51950
0.6961538461538461	23	AB049357.1/11673-11743
0.5776515151515151	78	AF357392.1/1-124
	27	AF109906.1/101404-101342
0.8114937388193202	95	AC019302.14/153716-153846
0.7159090909090909	88	AC091002.54/90660-90785
	39	AC132945.3/142528-142616
0.5261363636363636	42	AAHY01131654.1/34983-34856
0.7388888888888889	33	AB042432.1/3845-3913
0.5838509316770186	81	AY186881.1/3825-3954
	49	AC163617.5/148762-148677
0.6726190476190477	92	AC121963.3/78058-77927
	112	AY043296.2/720-867
	36	AB116374.1/1155-1226
	35	AJ003044.1/85-155
	61	AC122200.4/154212-154076
	34	AAHY01008130.1/13032-13101
0.3767066267066267	155	CAAA01181619.1/3682-3492
0.5928030303030303	41	AL713883.1/98037-98133
