AUC	base_num	seq_id
0.9107142857142858	11	AC166248.20/29722-29823
	6	AC135079.9/151986-151906
	7	AC004807.1/1740-1672
0.5888888888888889	14	AC110235.13/80163-80048
0.6447192513368984	90	DQ285765.1/1-290
0.6298209366391185	110	CAAA01147445.1/22509-22096
	10	AAHY01113754.1/39386-39310
	13	AC152939.2/6387-6477
	6	AC155932.6/138556-138619
0.6602564102564104	25	X04239.2/3-137
	6	CAAA01155521.1/5239-5175
0.6249999999999999	9	AAHY01059233.1/6026-5943
	11	AJ003042.1/135-208
0.5833333333333333	8	AC132367.3/116009-115932
0.09999999999999998	7	AC134429.3/110743-110844
	10	AC087898.19/20875-20801
	4	AJ224035.1/1-76
	11	AC149868.2/112534-112451
0.6666666666666666	10	AAHY01033490.1/12295-12382
0.4625	13	AAHY01072741.1/86035-86109
	11	U40654.1/1539-1614
0.7407407407407406	21	AC102547.8/25951-25815
0.6286324786324785	69	AAHY01756065.1/299-617
	12	AC121784.2/51879-51950
	14	AAHY01000621.1/5079-5000
	12	AJ224032.1/2-84
0.2666666666666667	8	U40654.1/2012-2080
	9	AF295529.1/5361-5441
	14	AB028894.1/2954-3040
	7	AB042432.1/3845-3913
0.6071428571428572	17	CAAA01084202.1/39331-39498
	6	AB116374.1/1155-1226
	9	AC163617.5/148762-148677
	8	AC132945.3/142528-142616
0.30000000000000004	25	AAHY01048392.1/24763-24623
	6	U40654.1/2265-2331
	10	AF396686.1/578-664
	8	AJ003043.1/58-131
	8	AF109906.1/101404-101342
	5	U40654.1/1763-1827
0.7916666666666667	13	AC154727.2/125080-125001
0.6666666666666667	6	AAHY01059233.1/4598-4519
0.75	8	AB042809.1/5159-5089
	8	U40654.1/922-996
0.5032467532467533	25	BC075731.1/796-925
0.7142857142857142	13	CAAA01202596.1/1204-1315
	14	AB076245.1/1700-1771
0.7346153846153847	46	M23705.1/702-916
	9	AC117663.13/64140-64070
0.5	28	AB011595.1/3767-3910
0.9411764705882353	18	AC121317.7/68985-69092
	8	AJ543402.1/2-77
	26	U40654.1/2537-2662
0.4423076923076923	71	AC119847.12/95090-94748
	10	CAAA01053942.1/45659-45581
	7	AJ224029.1/1-77
	9	AJ003044.1/85-155
0.8333333333333333	7	AF295529.1/6463-6530
0.5833333333333334	10	AAHY01059233.1/6294-6215
0.3801587301587301	59	AAHY01035212.1/17904-18281
	7	CAAA01055927.1/1000-927
0.6944444444444444	49	AJ006836.1/1091-1295
	7	AF109906.1/100346-100281
0.6136363636363636	15	BC024859.1/809-885
0.7952380952380953	31	AAHY01168842.1/1247-1097
1.0	4	AF357365.1/1-59
0.6506591337099813	95	AF191547.1/2290-1993
0.6	7	AF274027.1/835-900
0.6875	6	AAHY01059233.1/6587-6507
	22	AF227523.1/526-433
	9	AAHY01008130.1/13032-13101
0.6366013071895424	81	M63671.1/163-493
	10	AJ224031.1/3-64
0.5	7	V00711.1/3842-3772
0.758893280632411	34	CAAA01181619.1/3682-3492
0.75	15	AAHY01107679.1/13131-13051
	10	AJ224034.1/1-84
